,URL,category,total_item
0,https://www.rakuten.co.jp/category/100987/,,
1,https://www.rakuten.co.jp/category/101035/,リラックス・マッサージ用品,"47,523"
2,https://www.rakuten.co.jp/category/101058/,福祉・介護,"807,490"
3,https://www.rakuten.co.jp/category/101070/,スポーツ・アウトドア,"8,258,056"
4,https://www.rakuten.co.jp/category/101077/,ゴルフ,"888,911"
5,https://www.rakuten.co.jp/category/101100/,,
6,https://www.rakuten.co.jp/category/101114/,車・バイク,"308,342"
7,https://www.rakuten.co.jp/category/101126/,車用品,"24,124,769"
8,https://www.rakuten.co.jp/category/101157/,自転車・サイクリング,"674,999"
9,https://www.rakuten.co.jp/category/101164/,ホビー,"4,824,512"
10,https://www.rakuten.co.jp/category/101164/,ホビー,"4,824,512"
11,https://www.rakuten.co.jp/category/101164/,ホビー,"4,824,512"
12,https://www.rakuten.co.jp/category/101168/,喫煙具,"513,150"
13,https://www.rakuten.co.jp/category/101213/,ペット・ペットグッズ,"1,696,564"
14,https://www.rakuten.co.jp/category/101240/,CD・DVD,"6,897,890"
15,https://www.rakuten.co.jp/category/101240/,CD・DVD,"6,897,890"
16,https://www.rakuten.co.jp/category/101311/,CD,"4,686,201"
17,https://www.rakuten.co.jp/category/101354/,DVD,"1,714,572"
18,https://www.rakuten.co.jp/category/101438/,サービス・リフォーム,"350,808"
19,https://www.rakuten.co.jp/category/101439/,金融・保険,271
20,https://www.rakuten.co.jp/category/101445/,通信講座・通学講座・教材,"3,133"
21,https://www.rakuten.co.jp/category/101975/,アウトドア,"942,432"
22,https://www.rakuten.co.jp/category/110080/,,
23,https://www.rakuten.co.jp/category/110105/,ディスプレイ,"31,987"
24,https://www.rakuten.co.jp/category/110472/,米・雑穀,"58,778"
25,https://www.rakuten.co.jp/category/110662/,焼酎,"97,062"
26,https://www.rakuten.co.jp/category/110692/,野菜・果実飲料,"53,108"
27,https://www.rakuten.co.jp/category/110729/,,
28,https://www.rakuten.co.jp/category/110765/,トップス,"1,510,240"
29,https://www.rakuten.co.jp/category/110811/,和服,"71,132"
30,https://www.rakuten.co.jp/category/110983/,メンズ靴,"975,500"
31,https://www.rakuten.co.jp/category/111078/,キッズ,"1,386,462"
32,https://www.rakuten.co.jp/category/111102/,ベビー,"459,658"
33,https://www.rakuten.co.jp/category/111116/,マタニティ・ママ,"48,956"
34,https://www.rakuten.co.jp/category/111120/,香水・フレグランス,"161,418"
35,https://www.rakuten.co.jp/category/111173/,印鑑・ハンコ,"613,576"
36,https://www.rakuten.co.jp/category/111346/,テーブル,"232,403"
37,https://www.rakuten.co.jp/category/111355/,カーペット・マット・畳,"814,808"
38,https://www.rakuten.co.jp/category/111363/,イス・チェア,"325,855"
39,https://www.rakuten.co.jp/category/111427/,住宅・不動産,"1,597"
40,https://www.rakuten.co.jp/category/111469/,トイレ用品,"148,871"
41,https://www.rakuten.co.jp/category/111475/,バス用品,"404,049"
42,https://www.rakuten.co.jp/category/111519/,防災関連グッズ,"229,210"
43,https://www.rakuten.co.jp/category/111787/,メイク道具・ケアグッズ,"156,276"
44,https://www.rakuten.co.jp/category/111961/,フィッシング,"1,263,066"
45,https://www.rakuten.co.jp/category/112132/,占い・開運・風水・パワーストーン,"250,576"
46,https://www.rakuten.co.jp/category/113084/,花・観葉植物,"296,334"
47,https://www.rakuten.co.jp/category/200052/,冠婚葬祭サービス,"2,127"
48,https://www.rakuten.co.jp/category/200067/,ウインタースポーツ,"193,336"
49,https://www.rakuten.co.jp/category/200119/,クッション・座布団,"129,745"
50,https://www.rakuten.co.jp/category/200162/,本・雑誌・コミック,"20,063,910"
51,https://www.rakuten.co.jp/category/200162/,本・雑誌・コミック,"20,063,910"
52,https://www.rakuten.co.jp/category/200166/,収納家具,"1,188,823"
53,https://www.rakuten.co.jp/category/200167/,デスク,"46,350"
54,https://www.rakuten.co.jp/category/200168/,,
55,https://www.rakuten.co.jp/category/200169/,サッカー・フットサル,"337,954"
56,https://www.rakuten.co.jp/category/200170/,フィットネス・トレーニング,"209,351"
57,https://www.rakuten.co.jp/category/200225/,光ディスクレコーダー・プレーヤー,"15,177"
58,https://www.rakuten.co.jp/category/200284/,カーナビ・カーエレクトロニクス,"340,406"
59,https://www.rakuten.co.jp/category/200305/,バイク用品,"8,928,803"
60,https://www.rakuten.co.jp/category/200307/,バイクウェア・プロテクター,"310,235"
61,https://www.rakuten.co.jp/category/200990/,野菜・きのこ,"27,949"
62,https://www.rakuten.co.jp/category/201136/,チョコレート,"26,095"
63,https://www.rakuten.co.jp/category/201153/,クッキー・焼き菓子,"51,809"
64,https://www.rakuten.co.jp/category/201351/,水・ミネラルウォーター,"19,848"
65,https://www.rakuten.co.jp/category/201454/,ネイル,"221,347"
66,https://www.rakuten.co.jp/category/201591/,ベビー向けおもちゃ,"102,854"
67,https://www.rakuten.co.jp/category/201603/,知育玩具・学習玩具,"113,044"
68,https://www.rakuten.co.jp/category/201632/,ぬいぐるみ,"116,594"
69,https://www.rakuten.co.jp/category/201652/,日本人形・フランス人形,"15,613"
70,https://www.rakuten.co.jp/category/201775/,バッグ・ケース,"38,973"
71,https://www.rakuten.co.jp/category/201890/,登山・トレッキング,"87,693"
72,https://www.rakuten.co.jp/category/201937/,水泳,"141,927"
73,https://www.rakuten.co.jp/category/201959/,バスケットボール,"109,256"
74,https://www.rakuten.co.jp/category/202559/,業務用品・店舗用品,"275,406"
75,https://www.rakuten.co.jp/category/203018/,ピアノ・キーボード,"32,219"
76,https://www.rakuten.co.jp/category/203019/,和楽器,"9,531"
77,https://www.rakuten.co.jp/category/203024/,子供部屋用インテリア・寝具・収納,"103,553"
78,https://www.rakuten.co.jp/category/203107/,熱帯魚・アクアリウム,"146,493"
79,https://www.rakuten.co.jp/category/204200/,生活家電,"219,730"
80,https://www.rakuten.co.jp/category/204210/,管楽器・吹奏楽器,"70,714"
81,https://www.rakuten.co.jp/category/204228/,DJ機器,"6,222"
82,https://www.rakuten.co.jp/category/204233/,ベースメイク・メイクアップ,"394,843"
83,https://www.rakuten.co.jp/category/204745/,デンタルケア,"171,804"
84,https://www.rakuten.co.jp/category/205515/,ソファ・ソファベッド,"203,813"
